stat,m,n,num_perm,a0.01,a0.02,a0.05,a0.1,a0.2
t3,3,14,10000,1600,1590,1564,1530,1474
t3,3,15,10000,1906,1890,1860,1820,1756
t3,3,16,10000,2246,2230,2194,2152,2082
t3,3,17,10000,2622,2604,2562,2516,2442
t3,3,18,10000,3036,3018,2976,2920,2836
t3,3,19,10000,3498,3478,3428,3368,3276
t3,3,20,10000,4000,3978,3926,3860,3760
t3,3,21,10000,4552,4526,4472,4400,4288
t3,3,22,10000,5140,5112,5050,4974,4860
t3,3,23,10000,5786,5752,5684,5598,5466
t3,3,24,10000,6490,6454,6378,6286,6152
t3,3,25,10000,7244,7204,7124,7028,6874
t3,3,26,10000,8046,8004,7922,7824,7662
t3,3,27,10000,8906,8864,8772,8668,8498
t3,3,28,10000,9842,9800,9708,9590,9404
t3,3,29,10000,10824,10778,10680,10550,10358
t3,3,30,10000,11882,11826,11722,11586,11386
t3,3,31,10000,12992,12948,12832,12692,12468
t3,3,32,10000,14174,14130,14014,13854,13622
t3,3,33,10000,15440,15372,15250,15102,14864
t3,3,34,10000,16754,16704,16570,16408,16152
t3,3,35,10000,18156,18090,17956,17780,17510
t3,3,36,10000,19640,19572,19418,19224,18948
t3,3,37,10000,21186,21118,20970,20774,20452
t3,3,38,10000,22834,22758,22598,22392,22082
t3,3,39,10000,24544,24464,24266,24064,23736
t3,3,40,10000,26340,26270,26092,25856,25492
t3,3,41,10000,28216,28138,27946,27708,27340
t3,3,42,10000,30194,30108,29904,29656,29276
t3,3,43,10000,32268,32166,31962,31716,31288
t3,3,44,10000,34406,34320,34092,33830,33416
t3,3,45,10000,36670,36562,36364,36080,35626
t3,3,46,10000,39012,38902,38666,38364,37908
t3,3,47,10000,41448,41348,41114,40812,40320
t3,3,48,10000,44000,43878,43654,43328,42796
t3,3,49,10000,46640,46528,46274,45946,45430
t3,3,50,10000,49394,49276,48990,48640,48082
t3,3,51,10000,52262,52128,51846,51490,50950
t3,3,52,10000,55202,55068,54776,54416,53808
t3,3,53,10000,58262,58140,57822,57462,56870
t3,3,54,10000,61446,61310,61006,60604,59944
t3,3,55,10000,64760,64610,64256,63846,63218
t3,3,56,10000,68154,67992,67658,67228,66580
t3,3,57,10000,71686,71526,71150,70724,70034
t3,3,58,10000,75324,75176,74842,74380,73648
t3,3,59,10000,79110,78928,78576,78118,77360
t3,3,60,10000,83014,82806,82476,81978,81220
t3,3,61,10000,87010,86838,86416,85920,85146
t3,3,62,10000,91204,90996,90600,90056,89238
t3,3,63,10000,95490,95264,94866,94368,93528
t3,3,64,10000,99882,99702,99250,98688,97838
t3,3,65,10000,104458,104234,103748,103194,102296
t3,3,66,10000,109130,108932,108462,107902,106946
t3,3,67,10000,113936,113726,113238,112668,111684
t3,3,68,10000,118896,118678,118212,117570,116542
t3,3,69,10000,123958,123740,123256,122628,121644
t3,3,70,10000,129280,129028,128528,127856,126800
t3,3,71,10000,134580,134338,133828,133194,132152
t3,3,72,10000,140174,139958,139392,138704,137638
t3,3,73,10000,145836,145578,145026,144276,143172
t3,3,74,10000,151686,151460,150930,150200,149096
t3,3,75,10000,157750,157486,156874,156120,154898
t3,3,76,10000,163796,163558,162916,162186,160958
t3,3,77,10000,170190,169932,169276,168518,167296
t3,3,78,10000,176624,176362,175690,174846,173600
t3,3,79,10000,183328,183046,182442,181582,180264
t3,3,80,10000,190016,189734,189052,188196,186866
t3,3,81,10000,197022,196700,196022,195198,193784
t3,3,82,10000,204108,203786,203098,202218,200820
t3,3,83,10000,211368,211076,210388,209498,208046
t3,3,84,10000,218890,218600,217860,216968,215510
t3,3,85,10000,226544,226130,225398,224492,223018
t3,3,86,10000,234392,234092,233314,232364,230750
t3,3,87,10000,242334,242008,241272,240316,238694
t3,3,88,10000,250550,250160,249356,248356,246816
t3,3,89,10000,258886,258528,257690,256740,255068
t3,3,90,10000,267430,267062,266204,265140,263494
t3,3,91,10000,276142,275804,274940,273872,272162
t3,3,92,10000,285048,284718,283882,282700,280952
t3,3,93,10000,294164,293764,292928,291832,290054
t3,3,94,10000,303418,303044,302138,300938,299098
t3,3,95,10000,313004,312586,311654,310414,308576
t3,3,96,10000,322586,322198,321264,320158,318284
t3,3,97,10000,332552,332058,331144,329894,328006
t3,3,98,10000,342672,342226,341212,339954,337962
t3,3,99,10000,352944,352522,351416,350276,348366
t3,3,100,10000,363390,362928,361872,360568,358548
t3,3,101,10000,374096,373588,372516,371218,369132
t3,3,102,10000,384994,384528,383498,382194,380000
t3,3,103,10000,396122,395656,394592,393158,390996
t3,3,104,10000,407464,406954,405856,404350,402216
t3,3,105,10000,419028,418572,417432,416014,413794
t3,3,106,10000,430722,430206,429058,427616,425350
t3,3,107,10000,442632,442136,440936,439480,437228
t3,3,108,10000,454934,454448,453300,451662,449172
t3,3,109,10000,467322,466794,465658,464122,461702
t3,3,110,10000,479976,479378,478146,476582,474054
t3,3,111,10000,492778,492284,491078,489548,487000
t3,3,112,10000,505918,505292,504068,502452,499818
t3,3,113,10000,519262,518656,517270,515596,513096
t3,3,114,10000,532904,532328,531000,529296,526722
t3,3,115,10000,546568,545928,544624,542882,540226
t3,3,116,10000,560544,559928,558538,556772,554074
t3,3,117,10000,575024,574386,572924,571152,568394
t3,3,118,10000,589512,588828,587316,585468,582618
t3,3,119,10000,604070,603370,602042,600274,597306
t3,3,120,10000,619020,618388,616898,614932,611980
t3,3,121,10000,634208,633556,632066,630112,627226
t3,3,122,10000,649840,649168,647686,645884,642958
t3,3,123,10000,665458,664782,663228,661394,658258
t3,3,124,10000,681478,680910,679374,677388,674318
t3,3,125,10000,697926,697140,695564,693548,690428
t3,3,126,10000,714176,713558,711960,709870,706818
t3,3,127,10000,730848,730176,728620,726566,723324
t3,3,128,10000,748048,747436,745674,743558,739982
t3,3,129,10000,765278,764590,762884,760768,757370
t3,3,130,10000,782960,782140,780536,778222,774566
t3,3,131,10000,800812,799950,798148,795770,792216
t3,3,132,10000,818640,817882,816290,814096,810562
t3,3,133,10000,836988,836086,834382,832158,828586
t3,3,134,10000,855636,854784,853064,850638,847156
t3,3,135,10000,874600,873852,871998,869712,866136
t3,3,136,10000,893754,893034,891186,888732,884984
t3,3,137,10000,913158,912280,910398,908008,904304
t3,3,138,10000,932786,931862,929908,927484,923666
